,,"GeneID","Length","Min4vsCtrl","Min8vsCtrl","Min15vsCtrl","Min30vsCtrl","Hr1vsCtrl","Hr2vsCtrl","Hr4vsCtrl","Hr8vsCtrl","Hr16vsCtrl","CtrlHr16vsCtrl","AveExpr","F","P.Value","adj.P.Val"
,"7071",7071,3594,-0.097558833469535,-0.164909591131417,0.022542052147888,-0.383073773867366,0.365804822124286,2.11914302146281,0.649394708520134,0.426316802775264,-0.037178877869619,0.416671687052714,5.37684734388093,56.0931328092126,7.11E-16,8.78E-13
,"1755",1755,8073,0.110111071463369,0.144999738418093,0.056869931704364,0.104284620544886,0.022000013367366,-0.380830014069939,-0.938269378939198,-2.71389436267669,-1.76275912079382,-0.554513524817933,4.15341952106443,55.6583214029331,7.87E-16,8.92E-13
,"7286",7286,3255,0.310171538150982,0.373855942530285,0.225417335969999,0.356448939677986,0.431071207967847,0.916724729761737,1.13426547225224,-0.04109675941376,-0.142626945315813,-0.201384693662952,5.58078533174558,54.2261774453536,1.11E-15,1.16E-12
,"7779",7779,2018,0.531501172211872,0.519328507148065,0.421871630762132,0.83642908909487,0.608366103539901,1.32964507575806,1.83916453225959,0.36874189763873,-0.041600763862213,0.102801333091202,4.4058781792972,50.5556882297115,2.79E-15,2.71E-12
,"114034",114034,2630,0.290210340060701,0.18162002603986,0.061387649176572,0.496172242057815,0.222376691547216,0.565379206477616,0.872033591424487,0.419646925314696,0.025386366530096,-0.766802751725223,5.20974555872659,48.9028136070071,4.31E-15,3.90E-12
,"10957",10957,2133,-0.458385995492509,-0.636880496593769,-0.371470493219781,-0.500919401327019,-0.581507848847187,-0.766105901532173,-0.681795806545522,-0.768276216054058,-0.024173559751284,1.50409191575298,3.35054088021038,48.244214122091,5.14E-15,4.37E-12
,"5142",5142,6194,0.180626936982844,0.090000967567744,0.298049955803909,0.845208835874854,0.18509561751734,-1.2428608373609,-2.69588210582361,-0.881045936167092,-0.489527875746819,-0.650949793807033,2.4475001544158,46.6298989898524,8.02E-15,6.41E-12
,"6446",6446,4019,-0.282428327294533,-0.368999680363593,-0.334015966860965,0.779136042936687,0.898236006344712,0.870651196442691,0.237777806155266,-0.134644251165533,-0.462842298492167,0.136112020809811,5.62927356442703,46.0139663804684,9.54E-15,7.20E-12
,"4616",4616,1375,-0.012882884237091,-0.0267762394352,-0.082408325926354,0.19456873867978,0.482984718900572,1.25557599183693,0.308728217150615,-0.20614476388752,-0.273414178122392,-0.13497013921515,5.47417139383512,45.7453322446903,1.03E-14,7.36E-12
,"1847",1847,2528,-0.360962591956614,-0.42356291037641,-0.401217408837374,-1.05301476276467,-0.074707568982738,0.009699469376839,-0.3181977668677,-0.346755451926684,-0.096925101705183,1.27185886891828,6.52537454495889,44.8881470365154,1.32E-14,8.94E-12
,"4792",4792,1567,0.176257754478917,0.103564610488551,0.009301951410857,0.358742932576501,0.648536516098354,1.20243255777151,-0.273707197373504,-0.462355990499585,0.044706135307655,1.16858600424053,6.35979011857213,44.2985047715369,1.56E-14,1.01E-11
